Reference,Qty,Value,Footprint,
"C1,C7,C12,C20,C21",5,1uF,Capacitor_SMD:C_0805_2012Metric,
"C2,C4,C5",3,470u,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,
"C3,C6,C10,C11,C15,C16,C23,C24,C25,C26,C34,C35,C36,C37,C38,C39",16,0.1uF,Capacitor_SMD:C_0805_2012Metric,
"C8,C9,C13",3,1n,Capacitor_SMD:C_0805_2012Metric,
C14,1,10n,Capacitor_SMD:C_0805_2012Metric,
"C17,C18,C30,C31,C32,C33",6,33nF,Capacitor_SMD:C_0805_2012Metric,
C19,1,0.1u,Capacitor_SMD:C_0805_2012Metric,
C22,1,10u,Capacitor_SMD:C_0805_2012Metric,
C27,1,3.3n,Capacitor_SMD:C_0805_2012Metric,
"C28,C29",2,22n,Capacitor_SMD:C_0805_2012Metric,
"C40,C41,C42,C43",4,100n,Capacitor_SMD:C_0805_2012Metric,
"D1,D2,D3",3,SS14,Diode_SMD:D_SMA,
J1,1,Conn_01x02_Pin,Connector_AMASS:AMASS_XT60-F_1x02_P7.20mm_Vertical,
"J2,J3,J4",3,Conn_01x01_Pin,Connector_Wire:SolderWire-2sqmm_1x01_D2mm_OD3.9mm,
J6,1,Conn_01x04_Pin,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,
L1,1,10u,Inductor_SMD:L_7.3x7.3_H3.5,
"Q1,Q2,Q3,Q4,Q5,Q6",6,panjit-pjd80n06sa-au,Package_TO_SOT_SMD:TO-252-2,
"R1,R2,R7,R8,R13,R14",6,10,Resistor_SMD:R_0805_2012Metric,
"R3,R11,R36",3,22k,Resistor_SMD:R_0805_2012Metric,
"R4,R12,R21,R22,R34,R35",6,1k,Resistor_SMD:R_0805_2012Metric,
"R5,R6,R9,R10,R15,R16,R29",7,10k,Resistor_SMD:R_0805_2012Metric,
R17,1,100k,Resistor_SMD:R_0805_2012Metric,
R18,1,5.6k,Resistor_SMD:R_0805_2012Metric,
"R19,R28,R33",3,5m,Resistor_SMD:R_Shunt_Vishay_WSK2512_6332Metric_T1.19mm,
"R20,R23,R37",3,24k,Resistor_SMD:R_0805_2012Metric,
R24,1,26.1k,Resistor_SMD:R_0805_2012Metric,
"R25,R32",2,10K,Resistor_SMD:R_0805_2012Metric,
"R26,R27,R39",3,270,Resistor_SMD:R_0805_2012Metric,
"R30,R31,R38",3,22,Resistor_SMD:R_0805_2012Metric,
"R40,R42,R44,R46",4,22K,Resistor_SMD:R_0805_2012Metric,
"R41,R43,R45,R47",4,3.3K,Resistor_SMD:R_0805_2012Metric,
"U1,U2,U3",3,IR2110S,Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm,
"U4,U9,U10",3,TLV9062,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,DNP
U5,1,STM32G431RBT6,Package_QFP:LQFP-64_10x10mm_P0.5mm,
U6,1,AS5047D,Package_SO:TSSOP-14_4.4x5mm_P0.65mm,DNP
U7,1,MP1482DS-LF-Z,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,
U8,1,LM7812_TO220,Package_TO_SOT_THT:TO-220-3_Vertical,
